电影名称,导演,主演,年代,地区,影片类型,评分,评分人数,简介
寻梦环游记, 李·昂克里奇 Lee Unkrich / 阿德里安·莫利纳 Adrian Molina   主演: ..., ...,,2017,喜剧 动画 奇幻 音乐,9.1,,"
死亡不是真的逝去，遗忘才是永恒的消亡。
"
当幸福来敲门, 加布里尔·穆奇诺 Gabriele Muccino   主演: 威尔·史密斯 Will Smith ..., 威尔·史密斯 Will Smith ...,,2006,剧情 传记 家庭,9.1,,"
平民励志片。 
"
末代皇帝, 贝纳尔多·贝托鲁奇 Bernardo Bertolucci   主演: 尊龙 John Lone / 陈..., 尊龙 John Lone / 陈...,,1987,剧情 传记 历史,9.3,,"
“不要跟我比惨，我比你更惨”再适合这部电影不过了。
"
哈利·波特与魔法石, Chri, Daniel Radcliffe / Emma Wat,,2001,奇幻 冒险,9.2,,"
童话世界的开端。
"
龙猫, 宫崎骏 Hayao Miyazaki   主演: 日高法子 Noriko Hidaka / 坂本千夏 Ch..., 日高法子 Noriko Hidaka / 坂本千夏 Ch...,,1988,动画 奇幻 冒险,9.2,,"
人人心中都有个龙猫，童年就永远不会消失。
"
怦然心动, 罗伯·莱纳 Rob Reiner   主演: 玛德琳·卡罗尔 Madeline Carroll / 卡..., 玛德琳·卡罗尔 Madeline Carroll / 卡...,,2010,剧情 喜剧 爱情,9.1,,"
真正的幸福是来自内心深处。
"
活着, 张艺谋 Yimou Zhang   主演: 葛优 You Ge / 巩俐 Li Gong / 姜武 Wu Jiang, 葛优 You Ge / 巩俐 Li Gong / 姜武 Wu Jiang,,1994,剧情 历史 家庭,9.3,,"
张艺谋最好的电影。
"
蝙蝠侠：黑暗骑士, 克里斯托弗·诺兰 Chri, 克里斯蒂安·贝尔 Chri,,2008,剧情 动作 科幻 犯罪 惊悚,9.2,,"
无尽的黑暗。
"
指环王3：王者无敌, 彼得·杰克逊 Peter Jack, 伊利亚·伍德 Elijah Wood / 西恩...,,2003,剧情 动作 奇幻 冒险,9.3,,"
史诗的终章。
"
我不是药神, 文牧野 Muye Wen   主演: 徐峥 Zheng Xu / 王传君 Chuanjun Wang / 周..., 徐峥 Zheng Xu / 王传君 Chuanjun Wang / 周...,,2018,剧情 喜剧,9.0,,"
对我们国家而言，这样的电影多一部是一部。
"
